spike_length,spike_thickness,is_poisinous
4.78,0.85,1
4.1,0.39,0
1.32,1.37,0
1.92,1.39,1
1.69,0.15,0
2.56,0.23,0
2.92,0.91,1
2.49,0.79,0
2.27,1.2,1
0.77,1.34,0
3.33,0.92,1
2.92,0.83,1
2.38,0.3,0
3.38,1.24,1
0.62,0.84,0
0.74,1.18,0
0.5,0.62,0
4.07,0.47,0
1.12,0.32,0
0.89,1.42,0
3.43,0.74,1
3.84,0.51,0
2.38,0.19,0
3.81,1.36,1
1.83,1.32,1
3.02,1.47,1
3.8,0.28,0
2.01,0.71,0
2.67,0.43,0
3.37,0.4,0
3.99,0.2,0
0.98,0.33,0
2.14,1.34,1
1.61,1.16,0
3.27,1.16,1
4.96,1.4,1
1.33,1.35,0
4.58,0.8,1
3.93,0.68,1
4.36,1.4,1
2.07,0.91,0
0.82,1.07,0
4.9,0.92,1
4.63,0.76,1
4.03,1.13,1
4.48,0.96,1
3.95,1.01,1
4.34,1.04,1
1.73,0.98,0
4.32,0.89,1
0.98,1.11,0
1.63,1.38,1
0.96,0.72,0
1.31,0.42,0
1.36,1.3,0
1.57,1.4,1
0.95,0.44,0
1.98,0.82,0
1.91,0.76,0
2.6,0.83,1
1.86,0.64,0
2.03,0.5,0
2.2,1.01,1
1.08,0.74,0
0.95,0.43,0
2.0,1.3,1
3.1,0.24,0
3.21,0.18,0
3.83,1.41,1
3.93,0.34,0
2.14,1.4,1
3.53,1.43,1
0.86,0.73,0
3.57,1.2,1
3.35,0.32,0
3.53,0.85,1
2.15,0.25,0
4.1,0.98,1
2.29,0.53,0
1.57,1.37,1
0.54,0.8,0
1.17,1.06,0
3.51,0.27,0
2.08,0.62,0
1.78,1.46,1
4.07,0.78,1
3.16,0.41,0
3.22,0.65,1
1.0,0.89,0
2.52,1.08,1
2.29,0.65,0
2.98,0.19,0
1.13,0.49,0
4.48,0.87,1
3.11,0.88,1
3.4,0.11,0
2.55,0.9,1
3.37,0.5,0
0.86,0.61,0
1.41,1.2,0
2.81,1.01,1
1.81,1.15,1
3.43,0.44,0
0.75,1.47,0
4.04,1.24,1
2.25,0.58,0
1.96,0.69,0
1.63,0.27,0
3.0,0.51,0
2.42,0.46,0
4.38,1.24,1
4.49,0.61,1
2.68,0.74,0
0.87,0.65,0
1.12,1.02,0
2.31,1.15,1
2.18,1.28,1
3.18,0.47,0
1.3,0.9,0
2.08,0.54,0
2.92,1.03,1
3.95,0.35,0
0.75,0.28,0
3.1,0.62,0
2.44,1.27,1
4.02,1.13,1
4.81,0.44,1
1.35,0.34,0
4.56,0.31,0
0.65,1.42,0
2.48,0.5,0
3.94,1.33,1
2.66,0.33,0
3.82,0.95,1
1.57,1.12,0
0.88,0.21,0
4.96,0.57,1
2.21,0.6,0
1.67,0.56,0
3.0,0.45,0
3.63,1.41,1
1.37,0.81,0
2.65,1.06,1
3.56,0.24,0
3.69,1.2,1
2.86,0.25,0
4.14,0.44,0
2.88,1.24,1
0.87,0.17,0
4.78,0.43,1
4.0,0.88,1
2.92,0.54,0
1.9,1.29,1
4.53,0.37,0
1.26,0.12,0
3.78,1.29,1
0.85,1.13,0
4.36,0.15,0
0.61,1.37,0
0.99,0.33,0
3.67,1.14,1
2.36,1.49,1
1.42,0.74,0
2.16,1.48,1
3.67,0.52,0
1.54,0.53,0
2.17,0.41,0
4.48,0.7,1
2.89,1.25,1
3.22,1.03,1
1.95,1.07,1
2.64,0.36,0
0.92,1.3,0
1.37,1.33,0
2.0,0.47,0
0.82,1.38,0
3.23,0.21,0
0.94,1.05,0
4.14,0.89,1
0.79,0.42,0
2.39,0.99,1
4.67,0.34,0
4.19,0.65,1
2.65,0.26,0
3.28,0.21,0
2.49,1.49,1
3.71,0.66,1
3.46,0.14,0
1.63,0.72,0
0.57,0.4,0
4.52,0.37,0
1.34,0.65,0
4.24,0.97,1
4.71,0.89,1
4.71,1.24,1
3.89,1.35,1
3.45,1.24,1
1.24,0.33,0
3.53,0.66,1
2.43,0.64,0
2.18,0.61,0
4.19,0.52,1
1.88,1.47,1
3.4,0.6,1
4.88,0.53,1
1.62,0.84,0
1.54,1.13,0
1.44,0.51,0
1.67,0.45,0
4.57,1.27,1
1.75,1.34,1
4.25,0.5,1
2.25,1.38,1
3.76,0.82,1
1.73,0.95,0
2.64,0.59,0
1.24,0.95,0
3.26,1.47,1
4.36,0.84,1
2.21,0.49,0
2.41,1.07,1
4.33,0.63,1
2.86,0.69,0
2.94,1.3,1
4.93,0.6,1
0.73,0.85,0
4.15,1.22,1
3.81,0.28,0
2.6,0.9,1
4.23,0.86,1
3.55,0.65,1
4.6,0.3,0
4.41,0.91,1
1.46,0.44,0
3.29,1.19,1
1.91,1.09,1
0.72,1.48,0
0.79,0.36,0
4.88,1.11,1
0.65,0.24,0
1.96,1.1,1
4.32,0.78,1
4.31,0.55,1
4.93,1.0,1
1.9,0.62,0
3.42,0.49,0
3.47,0.93,1
1.68,1.03,0
2.96,1.48,1
3.94,0.93,1
2.35,0.48,0
0.78,0.25,0
2.42,0.62,0
0.93,0.82,0
1.25,1.0,0
3.21,1.06,1
4.94,0.71,1
2.14,0.49,0
1.88,1.18,1
4.25,0.92,1
0.68,0.72,0
3.61,0.34,0
2.21,0.55,0
3.15,1.2,1
1.78,0.72,0
4.82,0.3,0
2.73,1.09,1
3.02,0.26,0
0.69,1.07,0
0.68,0.39,0
4.34,0.16,0
0.86,0.75,0
3.88,1.36,1
1.16,1.33,0
2.28,1.3,1
1.89,0.81,0
3.36,1.12,1
3.1,0.87,1
4.74,1.39,1
2.83,0.39,0
1.03,0.24,0
2.48,0.6,0
1.91,1.22,1
3.98,0.58,1
2.07,1.08,1
4.57,1.45,1
3.81,1.19,1
0.9,0.4,0
3.54,0.42,0
1.76,0.11,0
3.61,1.1,1
1.65,0.61,0
1.44,1.16,0
3.3,0.79,1
0.76,0.63,0
2.89,0.66,0
0.79,1.42,0
2.7,0.54,0
0.68,0.8,0
3.55,0.98,1
1.92,0.16,0
2.85,1.14,1
4.96,0.36,0
4.67,1.09,1
0.61,1.24,0
3.68,1.33,1
1.35,1.04,0
3.66,1.0,1
3.67,0.29,0
1.34,0.62,0
4.97,1.08,1
1.25,1.34,0
2.69,1.2,1
4.08,0.71,1
1.77,0.64,0
1.69,1.43,1
1.79,0.28,0
1.88,1.14,1
3.51,0.92,1
1.19,0.81,0
3.0,1.37,1
4.61,0.29,0
3.46,1.09,1
1.16,0.76,0
0.76,1.44,0
3.77,1.48,1
4.03,0.62,1
2.51,1.05,1
1.42,0.67,0
3.28,0.44,0
1.61,0.85,0
1.14,0.25,0
4.21,1.48,1
3.8,1.48,1
0.84,0.46,0
4.29,1.14,1
1.34,1.44,0
0.5,1.21,0
0.69,1.28,0
3.82,0.65,1
1.82,0.36,0
3.86,1.01,1
1.26,1.23,0
2.84,0.41,0
1.75,0.9,0
2.66,1.26,1
3.55,1.47,1
2.53,0.1,0
3.6,1.43,1
1.88,1.16,1
4.78,1.19,1
2.42,1.21,1
4.51,1.18,1
0.94,1.42,0
2.32,0.36,0
0.6,1.4,0
2.48,0.72,0
3.45,0.71,1
1.4,0.88,0
3.21,0.7,1
1.95,0.1,0
2.09,0.71,0
1.02,1.29,0
1.41,1.29,0
2.56,1.37,1
4.68,1.04,1
4.82,1.18,1
2.15,0.52,0
1.56,1.07,0
3.5,0.95,1
1.18,1.19,0
3.19,0.11,0
1.33,0.54,0
4.12,0.62,1
1.16,0.99,0
0.72,1.34,0
3.14,0.98,1
1.39,1.14,0
2.96,0.92,1
1.81,1.06,0
1.68,1.12,0
2.54,0.94,1
1.1,0.87,0
2.65,0.37,0
3.25,1.07,1
2.51,0.95,1
3.11,0.12,0
3.16,0.83,1
1.84,1.14,1
4.2,0.41,0
3.09,0.49,0
4.29,0.27,0
3.44,1.35,1
4.16,0.7,1
2.07,0.43,0
3.49,0.4,0
2.19,0.57,0
2.45,0.3,0
2.8,0.95,1
4.86,1.19,1
1.98,1.44,1
3.33,0.35,0
4.86,0.23,0
1.1,1.41,0
0.9,1.38,0
1.86,1.1,1
1.41,0.8,0
4.47,0.36,0
1.63,0.38,0
1.79,0.58,0
4.42,1.48,1
0.52,0.68,0
4.87,0.91,1
4.92,0.34,0
3.62,0.59,1
4.53,1.25,1
1.66,0.68,0
3.71,0.63,1
1.99,0.26,0
0.59,0.84,0
3.44,0.78,1
4.05,1.29,1
4.05,0.98,1
2.24,1.31,1
0.77,1.01,0
4.38,0.48,1
1.62,0.72,0
1.59,1.08,0
2.18,0.79,0
0.67,0.62,0
2.74,0.88,1
3.92,0.23,0
2.46,0.19,0
1.21,0.36,0
1.82,1.23,1
4.47,0.87,1
1.03,0.66,0
1.41,1.31,0
1.02,1.05,0
2.06,0.91,0
2.57,1.36,1
4.85,0.38,0
2.97,1.44,1
3.48,1.19,1
0.92,1.37,0
3.97,1.07,1
4.83,0.32,0
4.07,1.15,1
2.54,0.51,0
